,Company,sector,annual_return_log,Std,Skewness,Kurtosis
0,MMM,Industrials,0.016322113707062696,0.3886253483564675,-0.23672508887511295,4.465973784004677
1,ABT,Health Care,0.21297303367028078,0.4058824840264735,0.06769255831403619,3.3637874689289458
2,ABBV,Health Care,0.22168301564286472,0.3627775182117899,-0.6030988491715482,7.175062672931084
3,ABMD,Health Care,0.47340260846274373,0.4429435984587447,-0.4060254170690415,2.790757093766824
4,ACN,Information Technology,0.2542357783288885,0.43055218375087145,0.2507000034306509,3.232463367255824
5,ATVI,Communication Services,0.40781042282062885,0.4019338859190359,-0.16372973363401366,2.5115594602166658
6,ADBE,Information Technology,0.38545711848685,0.4966778308152642,-0.1186662408880562,5.957377668608331
7,AMD,Information Technology,0.654908207023311,0.627015729057617,-0.012928692263409118,2.4338122988495003
8,AAP,Consumer Discretionary,0.08733025655709084,0.48824908450852744,-1.3719473370318922,8.915028128255146
9,AES,Utilities,0.13999656708383137,0.6127738981577322,-1.0461166988503028,5.578913240479311
10,AFL,Financials,-0.18047813925074058,0.6002597522052712,0.032863132507602554,10.87425755162706
11,A,Health Care,0.3035259488428909,0.3800937987204379,-0.2786873336847155,3.5306634325237205
12,APD,Materials,0.14222445638879763,0.45636457233042926,-0.4127755539336995,5.507642043377983
13,AKAM,Information Technology,0.11998374425037651,0.3939992631861522,-0.42643679049558975,3.1650144035255954
14,ALK,Industrials,-0.2731585577556359,0.8357338310183985,-0.6132028830706869,5.821756654783169
15,ALB,Materials,0.614294382173271,0.6398843792898468,-0.6957644533325609,3.31515612050738
16,ARE,Real Estate,0.07851003772853457,0.43865614723105667,-1.014726793688824,11.696437302472575
17,ALXN,Health Care,0.3451265750408913,0.48391452455287887,2.5392907605388904,20.247925627684992
18,ALGN,Health Care,0.7167068578612712,0.7124968510320472,1.0516094252439685,10.636416842887062
19,ALLE,Industrials,-0.11207956814181254,0.47697737846877264,-0.5062652584128641,4.191385849984478
20,LNT,Utilities,-0.1146632345938584,0.39958004108364653,-0.040885405638860554,3.523786609285179
21,ALL,Financials,-0.08947913409539004,0.4505344337527575,-0.8533172369171679,5.591517293685808
22,GOOGL,Communication Services,0.16988301122297667,0.3985804279837757,-0.43830855013135633,3.8448727700496645
23,GOOG,Communication Services,0.1713764942671716,0.3970923513816904,-0.38833226559313994,3.507083015869804
24,MO,Consumer Staples,-0.11292982245490939,0.37792288889168024,-0.35181602156674474,3.1339447930332947
25,AMZN,Consumer Discretionary,0.5715605451334714,0.3959058762216661,-0.040570515618976205,1.035976895626236
26,AMCR,Materials,0.12326348886605434,0.4959830821438309,-0.6082480171778798,8.685177850771623
27,AEE,Utilities,-0.01573539049799709,0.4492783436177574,-0.2919052254963109,9.751501662319395
28,AAL,Industrials,-0.5604866084742282,1.047543191198165,0.6880755071366891,5.908599177236033
29,AEP,Utilities,-0.17634982679305206,0.39979574711018423,-0.1584122306497406,5.980732011165838
30,AXP,Financials,-0.10258762241389878,0.6540787900040727,0.7380199622464325,6.553876120152882
31,AIG,Financials,-0.30449921461512314,0.7495180350610624,-0.7584036752119183,4.563565353256351
32,AMT,Real Estate,-0.06412656954812936,0.45404689668885323,-0.15886198992350398,6.533664606047639
33,AWK,Utilities,0.13284672351383695,0.4424848856468529,-0.09434145056948992,7.823395944465673
34,AMP,Financials,0.1322767595404328,0.7188420618668108,-0.4828078019412222,9.077901260926545
35,ABC,Health Care,0.09285516457327936,0.42735233781116305,0.3769393968451549,4.2538838378844765
36,AME,Industrials,0.17532985722559372,0.48491964122198966,-1.1106143196229135,10.573703370911332
37,AMGN,Health Care,-0.017155739141876937,0.39337427611421055,0.5754720097890353,3.1687471596385723
38,APH,Information Technology,0.20198703018399125,0.4288811963265458,-0.9367386623784068,5.626019573324765
39,ADI,Information Technology,0.21409916124120731,0.5218723049553586,-0.5989029605121509,6.9959342052454705
40,ANSS,Information Technology,0.28361901459321653,0.47616201845742967,0.14133573429798776,4.99618907105806
41,ANTM,Health Care,0.014585458102745672,0.5666467429560845,-0.17181696801758017,5.736441888991093
42,AON,Financials,-0.00606300980275387,0.4152561930805382,-0.7200879830305129,13.44209488337803
43,AOS,Industrials,0.2097211236036713,0.39297078014326625,-0.31366786854431733,1.274347342438788
44,APA,Energy,-0.8066204055577441,1.3701417106256941,-3.3308597707278143,28.129409703368577
45,AAPL,Information Technology,0.5177753257954204,0.48139683140933626,-0.283569215398124,3.5291454831142905
46,AMAT,Information Technology,0.35117073172303814,0.6198471650342299,-1.0861467439197923,6.353877121576433
47,APTV,Consumer Discretionary,0.32934689172753706,0.7768080731923174,-2.2229063095888435,17.04545894233284
48,ADM,Consumer Staples,0.1311684233362142,0.4155397184111556,-0.26876247347318727,3.0306354002089684
49,ANET,Information Technology,0.27941800078478835,0.5043500172169924,0.07231658219404667,4.661008377505533
50,AJG,Financials,0.2988837334108616,0.42418578935295664,-1.2018946968656854,9.897922452809572
51,AIZ,Financials,0.016905638928606543,0.5133278099497895,-1.4807683830384495,11.720494121465487
52,T,Communication Services,-0.2478476149775402,0.37005180244078834,-0.1808298671484642,3.971944422174806
53,ATO,Utilities,-0.2276329004038509,0.4300448593940193,0.24387452923981015,6.764822557363843
54,ADSK,Information Technology,0.4679649567225627,0.5241643804363579,-0.4034201688138844,3.805539841906774
55,ADP,Information Technology,0.03435633194733041,0.46588917618969183,-0.6828559185196799,6.972991897886695
56,AZO,Consumer Discretionary,0.032818842740635394,0.43699627601922886,-1.6532871495309653,11.724654953170235
57,AVB,Real Estate,-0.3207565918067137,0.5276683981532269,-0.6027312054891767,5.830043931001605
58,AVY,Materials,0.18517832120459785,0.4986148806450579,0.4520059222648986,9.875840849122577
59,BKR,Energy,-0.024205618782649756,0.7321882842209343,-0.3812376414462637,5.749244414441025
60,BLL,Materials,0.32038156219905456,0.4073064310796994,-0.013483592785384576,5.221092654144073
61,BAC,Financials,-0.11769239132742289,0.6070491905631951,0.009076283787912637,4.6625864317408965
62,BK,Financials,-0.09744635254503678,0.49875997975628317,-0.22330243058970278,6.5018095376213765
63,BAX,Health Care,-0.13718050072275878,0.381055434353151,-0.12505855103221505,6.223428757381354
64,BDX,Health Care,-0.1039803781087834,0.38082340870885806,-0.7376965734799862,6.197214671049265
65,BRK-B,Financials,-0.02362507789147769,0.36263246081791106,-0.2270655200652282,6.593273952144521
66,BBY,Consumer Discretionary,0.16776020524072835,0.5358234187122322,-0.2141136565121407,5.001576420658136
67,BIO,Health Care,0.4776254520431849,0.424037364625321,-0.2625084449487473,1.911371353613979
68,BIIB,Health Care,-0.1573716436622734,0.6909449830872678,0.9109321290592798,34.6319027387564
69,BLK,Financials,0.331967405672122,0.49690473573278304,-0.3851744458500738,4.883275492871866
70,BA,Industrials,-0.38442961920334007,0.9120616742890593,-0.29944592092267636,4.758425063545909
71,BKNG,Consumer Discretionary,0.04086221140628561,0.5355601871273749,0.39550005715536957,4.590179549274518
72,BWA,Consumer Discretionary,-0.03910086643440044,0.5244796591673695,-0.23657379992810182,2.467225263377684
73,BXP,Real Estate,-0.3954207814410199,0.6054789336669663,-0.21370877902770402,6.246587080802858
74,BSX,Health Care,-0.2579088559595251,0.4614813603405172,-0.9191451783723954,4.319950000483792
75,BMY,Health Care,-0.06608705946260565,0.306563275496276,-0.21982724426576297,2.974309740166172
76,AVGO,Information Technology,0.4077745644810876,0.5402136549389407,-1.499096874579635,11.880810431670625
77,BR,Information Technology,0.1510914452663618,0.37375788982081254,0.1447525229995849,4.962534981465304
78,BF-B,Consumer Staples,0.11667166564698979,0.4134565858074877,-0.22744360016528511,8.34506942993139
79,CHRW,Industrials,0.19379227175791178,0.33701039920559434,-0.5200783473584785,6.404666892056412
80,COG,Energy,0.11239188389512807,0.5324125389391365,0.4643518840786923,3.108089767919031
81,CDNS,Information Technology,0.6135191338166704,0.47833817536422046,-0.23822509027348882,3.508173324442099
82,CPB,Consumer Staples,0.013840944028792027,0.33328280683472356,0.07657598817084342,4.326347243167344
83,COF,Financials,-0.054983039206928486,0.7606305393430268,-0.6811334615639117,5.84942646434977
84,CAH,Health Care,0.029215516109603826,0.47359551948127365,0.0583279398978398,3.0947855906633173
85,KMX,Consumer Discretionary,0.04787165146957455,0.5994525896525787,-0.713588882588651,8.171783847263733
86,CCL,Consumer Discretionary,-0.9393818359562552,1.282439974723148,-0.8157690036003464,5.527818636806865
87,CTLT,Health Care,0.5600141914125351,0.5487241880850668,-0.9522368844600471,7.472799365773206
88,CAT,Industrials,0.2526140880198898,0.4686956517405809,-0.7697903240397114,3.798957054465566
89,CBOE,Financials,-0.2667944840431274,0.4536506695927012,-0.8705009798385231,7.890966245365183
90,CBRE,Real Estate,0.018167327889459114,0.6500247115685341,-0.23638337261763914,4.038159904415923
91,CDW,Information Technology,-0.029944950063581947,0.5189776858945914,-0.6126911046664452,4.073791920688216
92,CE,Materials,0.13973989287993815,0.5654450141263259,-1.1762516702969041,5.496665121898964
